course_name,degree_type,subject_area,start_date,duration,study_mode,link
,,1,,,,https://www.essex.ac.uk/courses/PR00854/1/PhD-Accounting
,,1,,,,https://www.essex.ac.uk/courses/PG00428/1/MSc-Accounting-and-Financial-Management
,,2,,,,https://www.essex.ac.uk/courses/UG00002/2/BSc-Accounting-and-Finance
,,2,,,,https://www.essex.ac.uk/courses/PR00854/2/PhD-Accounting
,,5,,,,https://www.essex.ac.uk/courses/PR00855/5/PhD-Accounting-and-Finance
,,1,,,,https://www.essex.ac.uk/courses/PG00425/1/MSc-Accounting
,,1,,,,https://www.essex.ac.uk/courses/PR00855/1/PhD-Accounting-and-Finance
,,1,,,,https://www.essex.ac.uk/courses/PG00426/1/MSc-Accounting-and-Finance
,,1,,,,https://www.essex.ac.uk/courses/PG00427/1/MSc-Financial-Economics-and-Accounting
,,1,,,,https://www.essex.ac.uk/courses/UG00001/1/BSc-Accounting
,,4,,,,https://www.essex.ac.uk/courses/PG00425/4/MRes-Accounting
,,1,,,,https://www.essex.ac.uk/courses/UG00002/1/BSc-Accounting-and-Finance
,,3,,,,https://www.essex.ac.uk/courses/UG00002/3/Integrated-Master-in-Accounting-Accounting-and-Finance
,,1,,,,https://www.essex.ac.uk/courses/PR01342/1/PhD-Drama-and-Performance
,,1,,,,https://www.essex.ac.uk/courses/UG01119/1/BA-Creative-Producing-Theatre-and-Short-Film
,,2,,,,https://www.essex.ac.uk/courses/UG00008/2/BA-Acting
,,2,,,,https://www.essex.ac.uk/courses/PG01497/2/MFA-Acting-for-Digital-Media
,,1,,,,https://www.essex.ac.uk/courses/UG00337/1/BA-Acting-and-Physical-Theatre
,,1,,,,https://www.essex.ac.uk/courses/UG00010/1/BA-Acting-and-Contemporary-Theatre
,,1,,,,https://www.essex.ac.uk/courses/UG00011/1/BA-Acting-and-Fight-Performance
,,2,,,,https://www.essex.ac.uk/courses/PG00147/2/MFA-Acting-International
,,1,,,,https://www.essex.ac.uk/courses/PG00147/1/MA-Acting-International
,,1,,,,https://www.essex.ac.uk/courses/UG00404/1/BA-Stage-and-Production-Management
,,1,,,,https://www.essex.ac.uk/courses/PG00431/1/MA-Acting
,,1,,,,https://www.essex.ac.uk/courses/UG00008/1/BA-Acting
,,1,,,,https://www.essex.ac.uk/courses/UG00418/1/BA-World-Performance
,,1,,,,https://www.essex.ac.uk/courses/UG00411/1/Certificate-of-HE-Acting-for-Stage-and-Screen
,,1,,,,https://www.essex.ac.uk/courses/PR01346/1/PhD-Drama-and-Performance-Practice-as-Research
,,1,,,,https://www.essex.ac.uk/courses/PG01644/1/MFA-Acting-with-Digital-Media
,,2,,,,https://www.essex.ac.uk/courses/PG00830/2/MFA-Theatre-Directing
,,1,,,,https://www.essex.ac.uk/courses/PG01497/1/MA-Acting-for-Digital-Media
,,2,,,,https://www.essex.ac.uk/courses/UG00009/2/BA-Acting-and-Community-Engagement
,,1,,,,https://www.essex.ac.uk/courses/UG01619/1/BA-Stage-Management
,,1,,,,https://www.essex.ac.uk/courses/PG00830/1/MA-Theatre-Directing
,,1,,,,https://www.essex.ac.uk/courses/UG01421/1/Integrated-Master-in-Science-Actuarial-Science-and-Data-Science
,,5,,,,https://www.essex.ac.uk/courses/PR01041/5/PhD-Actuarial-Science
,,1,,,,https://www.essex.ac.uk/courses/PG01081/1/MSc-Actuarial-Science
,,1,,,,https://www.essex.ac.uk/courses/PR01041/1/PhD-Actuarial-Science
,,1,,,,https://www.essex.ac.uk/courses/UG00012/1/BSc-Actuarial-Science
,,1,,,,https://www.essex.ac.uk/courses/UG00168/1/BSc-Finance-and-Mathematics
,,4,,,,https://www.essex.ac.uk/courses/PR01041/4/PhD-Actuarial-Science
,,2,,,,https://www.essex.ac.uk/courses/PG00610/2/Postgraduate-Diploma-Mathematics-and-Finance
,,2,,,,https://www.essex.ac.uk/courses/PG01081/2/Postgraduate-Diploma-Actuarial-Science
,,1,,,,https://www.essex.ac.uk/courses/PG00610/1/MSc-Mathematics-and-Finance
,,2,,,,https://www.essex.ac.uk/courses/UG00014/2/BA-American-Studies-United-States
